Project Name	SMARCB1 279del IVG 28.02.23	Assays	1																		
User Name	94161@hospitaldelmar.cat	Samples	13																		
Created by	94161@hospitaldelmar.cat	Chips	23																		
Created on	02/28/23 03:26 PM	Confidence Level	95.00%																		
Last modified on	03/01/23 08:34 AM	Desired Precision	10.00%																		
Application version	3.1.6-PRC-build18	Algorithm version	4.4.10																		
Project Description		Algorithm Type	PoissonPlus																		
Threshold for Rare Calls	-100																				
Comments																					
																					
[Rare Target Results]																					
Assay	Sample	Target/Total	CI Target/Total	Copies/microliter (VIC)	CI Copies/microliter (VIC)	Precision (VIC)	Copies/microliter (FAM)	CI Copies/microliter (FAM)	Precision (FAM)	Chips	Recommendation										
SSMARCB1 279delIVG	N19-33.5	1	230228_150223_E01W9E.eds	0.28%	0.187% -- 0.403%	0.548	0.535 -- 0.561	1.51E-03	1.04E-3 -- 2.21E-3	725.71	709.27 -- 742.54	2003	1.374 -- 2.921	10340	17839	2	17868	19048	02/28/23 03:02 PM	137270153	
SSMARCB1 279delIVG	N19-33.7	1	230228_151656_E01VIV.eds	0.00%	NA	0.88	0.863 -- 0.898	0	NA	1165.8	1142.5 -- 1189.6	0	NA	7291	17476	25	17501	19325	02/28/23 03:16 PM	137270153	
SSMARCB1 279delIVG	N19-33.7	1	230228_151832_E01WAG.eds	0.00%	NA	0.846	0.829 -- 0.863	0	NA	1120.4	1098.5 -- 1142.8	0	NA	7914	18412	17	18429	19262	02/28/23 03:18 PM	137270153	
SSMARCB1 279delIVG	N19-33.8	1	230228_150807_E01WB2.eds	0.00%	NA	1.33	1.306 -- 1.355	0	NA	1762.2	1729.8 -- 1795.3	0	NA	4713	17688	0	17688	19115	02/28/23 03:08 PM	137270153	
SSMARCB1 279delIVG	N19-33.8	1	230228_150433_E01W5U.eds	0.00%	NA	1.4	1.374 -- 1.427	0	NA	1854.9	1820.3 -- 1890.2	0	NA	4283	17170	4	17174	19672	02/28/23 03:04 PM	137270153	
SSMARCB1 279delIVG	C+ RT003 P2G5	1	230228_151206_E01VUX.eds	48.38%	45.587% -- 51.297%	0.13	0.124 -- 0.135	0.122	0.116 -- 0.127	171.88	164.84 -- 179.22	161.09	154.29 -- 168.18	15908	16038	21	18132	19639	02/28/23 03:12 PM	137270153	
																					
[Digital Call]																					
Chip	Dye	# of Neg	# qualified by QT	Threshold																	
230228_150223_E01W9E.eds	FAM	17839	17868	NA																	
230228_150223_E01W9E.eds	VIC	10340	17868	NA																	
230228_150304_E01QIQ.eds	FAM	17490	17567	NA																	
230228_150304_E01QIQ.eds	VIC	11163	17567	NA																	
230228_150348_E01V46.eds	FAM	16443	16471	NA																	
230228_150348_E01V46.eds	VIC	5794	16471	NA																	
230228_150433_E01W5U.eds	FAM	17170	17174	NA																	
230228_150433_E01W5U.eds	VIC	4283	17174	NA																	
230228_150518_E01W9O.eds	FAM	17465	17477	NA																	
230228_150518_E01W9O.eds	VIC	8720	17477	NA																	
230228_150604_E028ZW.eds	FAM	17266	17310	NA																	
230228_150604_E028ZW.eds	VIC	11851	17310	NA																	
230228_150719_E01V51.eds	FAM	15664	18000	NA																	
230228_150719_E01V51.eds	VIC	14786	18000	NA																	
230228_150807_E01WB2.eds	FAM	17688	17688	NA																	
230228_150807_E01WB2.eds	VIC	4713	17688	NA																	
230228_150901_E01VVW.eds	FAM	16687	16698	NA																	
230228_150901_E01VVW.eds	VIC	8835	16698	NA																	
230228_150946_E01YW9.eds	FAM	18327	18342	NA																	
230228_150946_E01YW9.eds	VIC	17542	18342	NA																	
230228_151034_E01WR7.eds	FAM	17818	17822	NA																	
230228_151034_E01WR7.eds	VIC	6584	17822	NA																	
230228_151120_E01WGA.eds	FAM	16020	18410	NA																	
230228_151120_E01WGA.eds	VIC	15205	18410	NA																	
230228_151206_E01VUX.eds	FAM	16038	18132	NA																	
230228_151206_E01VUX.eds	VIC	15908	18132	NA																	
230228_151253_E0290E.eds	FAM	17072	17273	NA																	
230228_151253_E0290E.eds	VIC	8365	17273	NA																	
230228_151438_E01VV1.eds	FAM	17231	17243	NA																	
230228_151438_E01VV1.eds	VIC	6371	17243	NA																	
230228_151523_E01P0O.eds	FAM	17085	17104	NA																	
230228_151523_E01P0O.eds	VIC	10250	17104	NA																	
230228_151607_E01W5N.eds	FAM	16943	16980	NA																	
230228_151607_E01W5N.eds	VIC	6833	16980	NA																	
230228_151656_E01VIV.eds	FAM	17476	17501	NA																	
230228_151656_E01VIV.eds	VIC	7291	17501	NA																	
230228_151743_E01Z4C.eds	FAM	18019	18060	NA																	
230228_151743_E01Z4C.eds	VIC	6075	18060	NA																	
230228_151832_E01WAG.eds	FAM	18412	18429	NA																	
230228_151832_E01WAG.eds	VIC	7914	18429	NA																	
230228_151914_E0285G.eds	FAM	17505	17692	NA																	
230228_151914_E0285G.eds	VIC	8485	17692	NA																	
230228_152000_E01VDQ.eds	FAM	17518	17520	NA																	
230228_152000_E01VDQ.eds	VIC	17518	17520	NA																	
230228_152049_E01Q09.eds	FAM	17626	17672	NA																	
230228_152049_E01Q09.eds	VIC	10013	17672	NA																	
																					
[Limit of Detection Table]																					
Assay	Chip	Sample	Task	Calculated Sensitivity	Minimum Rare Positive Points	Normalized Number of False Positives	Average (False Positives)	Std Dev (False Positives)	Number of Positives in Rare Cluster	Wild Type Quant (Copies/Reaction)											
																					
																					
[Calls Count]																					
Chip	#FAM	#VIC	#FAMVIC	#Undetermined	#NOAMP																
230228_151743_E01Z4C.eds	4	11948	35	2	6071																
230228_151253_E0290E.eds	75	8782	107	19	8290																
230228_150433_E01W5U.eds	0	12887	0	4	4283																
230228_151206_E01VUX.eds	1839	1969	234	21	14069																
230228_150223_E01W9E.eds	18	7517	9	2	10322																
230228_150348_E01V46.eds	5	10654	17	6	5789																
230228_151607_E01W5N.eds	11	10121	13	13	6822																
230228_151832_E01WAG.eds	0	10498	0	17	7914																
230228_150807_E01WB2.eds	0	12975	0	0	4713																
230228_151034_E01WR7.eds	0	11234	2	2	6584																
230228_150604_E028ZW.eds	29	5444	12	3	11822																
230228_150901_E01VVW.eds	0	7852	3	8	8835																
230228_150719_E01V51.eds	1858	2736	452	26	12928																
230228_152000_E01VDQ.eds	0	0	0	2	17518																
230228_151523_E01P0O.eds	0	6835	8	11	10250																
230228_151656_E01VIV.eds	0	10185	0	24	7290																
230228_150946_E01YW9.eds	0	785	4	11	17542																
230228_151438_E01VV1.eds	1	10861	1	10	6370																
230228_150304_E01QIQ.eds	44	6371	25	8	11119																
230228_151120_E01WGA.eds	1942	2757	426	22	13263																
230228_150518_E01W9O.eds	0	8745	0	12	8720																
230228_151914_E0285G.eds	83	9103	82	22	8402																
230228_152049_E01Q09.eds	19	7632	17	10	9994																
